step,node,prev,new,entropy,time
6,27,4,7,3.436067e-01,-6.478862e+42
6,28,0,2,2.426297e-01,-5.737546e+42
6,29,0,3,1.450233e-01,-6.517495e+42
6,30,4,7,3.436067e-01,-5.710965e+42
6,31,4,3,1.450233e-01,-5.973232e+42
6,32,4,3,1.037106e-01,-6.354457e+42
6,33,7,6,3.977367e-01,-6.428941e+42
6,34,0,6,4.699547e-01,-5.824730e+42
6,35,8,4,7.704203e-01,-5.664222e+42
6,36,5,6,3.977367e-01,-5.695866e+42
6,37,3,3,7.500878e-01,-5.504204e+42
6,38,5,3,9.134975e-01,-6.527424e+42
6,39,0,0,5.189916e-01,-6.020486e+42
6,40,7,0,8.036823e-01,-6.230328e+42
6,41,3,0,5.189916e-01,-6.333618e+42
6,42,4,5,3.330971e-01,-5.831925e+42
6,43,6,7,5.228397e-01,-5.755035e+42
6,44,7,6,7.484605e-01,-5.612788e+42
6,45,7,0,5.189916e-01,-5.542975e+42
6,46,5,6,4.699547e-01,-5.976939e+42
6,47,8,3,3.654020e-01,-6.537629e+42
6,48,7,4,2.373676e-01,-5.856709e+42
6,49,1,6,2.481005e-01,-6.107023e+42
7,0,6,2,6.518886e-01,-6.798669e+42
7,1,4,7,7.833985e-01,-6.914748e+42
7,2,3,6,3.793330e-01,-7.256551e+42
7,3,6,0,1.555980e-01,-6.678472e+42
7,4,4,8,4.809201e-01,-7.275967e+42
7,5,7,4,8.366362e-02,-6.379041e+42
7,6,7,0,1.876656e-01,-7.058395e+42
7,7,6,8,5.474104e-02,-7.011157e+42
7,8,3,6,7.554923e-01,-7.692687e+42
7,9,6,8,5.752841e-01,-6.317562e+42
7,10,7,1,8.693290e-01,-6.896036e+42
7,11,7,2,4.717297e-01,-6.853099e+42
7,12,6,2,6.518886e-01,-7.610789e+42
7,13,8,8,5.752841e-01,-6.446761e+42
7,14,7,2,6.518886e-01,-6.610282e+42
7,15,2,8,4.809201e-01,-6.611967e+42
7,16,6,8,4.809201e-01,-6.465326e+42
7,17,3,0,1.555980e-01,-6.748012e+42
7,18,6,2,4.717297e-01,-7.336078e+42
7,19,3,6,7.554923e-01,-7.282268e+42
7,20,3,6,7.554923e-01,-6.751107e+42
7,21,4,1,2.977741e-01,-7.561822e+42
7,22,7,4,2.205478e-01,-6.491312e+42
7,23,3,6,7.554923e-01,-7.036414e+42
7,24,3,6,3.793330e-01,-6.988268e+42
7,25,2,8,5.752841e-01,-6.649556e+42
7,26,3,8,5.474104e-02,-6.788871e+42
7,27,7,8,4.809201e-01,-7.558672e+42
7,28,2,5,3.307190e-01,-6.693804e+42
7,29,3,4,8.366362e-02,-7.603745e+42
7,30,7,6,7.554923e-01,-6.662793e+42
7,31,3,1,8.693290e-01,-6.968771e+42
7,32,3,0,1.876656e-01,-7.413533e+42
7,33,6,5,6.199377e-01,-7.500431e+42
7,34,6,0,6.645431e-01,-6.795519e+42
7,35,4,1,2.977741e-01,-6.608258e+42
7,36,6,6,7.554923e-01,-6.645177e+42
7,37,3,5,3.307190e-01,-6.421571e+42
7,38,3,7,7.833985e-01,-7.615327e+42
7,39,0,1,2.977741e-01,-7.023900e+42
7,40,0,0,1.555980e-01,-7.268716e+42
7,41,0,2,4.717297e-01,-7.389221e+42
7,42,5,4,2.205478e-01,-6.803913e+42
7,43,7,1,8.693290e-01,-6.714208e+42
7,44,6,4,8.366362e-02,-6.548252e+42
7,45,0,8,5.752841e-01,-6.466804e+42
7,46,6,5,3.307190e-01,-6.973096e+42
7,47,3,8,5.474104e-02,-7.627234e+42
7,48,4,3,8.178258e-01,-6.832828e+42
7,49,6,7,7.833985e-01,-7.124860e+42
8,0,2,3,1.301318e-02,-7.769908e+42
8,1,7,5,9.360357e-01,-7.902569e+42
8,2,6,0,3.738477e-01,-8.293202e+42
8,3,0,3,6.471540e-01,-7.632540e+42
8,4,8,7,9.754874e-01,-8.315391e+42
8,5,4,7,3.581652e-01,-7.290332e+42
8,6,0,7,3.158682e-01,-8.066738e+42
8,7,8,5,9.360357e-01,-8.012751e+42
8,8,6,2,5.339487e-01,-8.791642e+42
8,9,8,0,8.226356e-01,-7.220071e+42
8,10,1,3,1.301318e-02,-7.881183e+42
8,11,2,7,3.581652e-01,-7.832113e+42
8,12,2,7,3.581652e-01,-8.698045e+42
8,13,8,2,3.583815e-01,-7.367727e+42
8,14,2,3,6.471540e-01,-7.554607e+42
8,15,8,4,2.470148e-01,-7.556534e+42
8,16,8,3,5.784236e-01,-7.388944e+42
8,17,0,0,7.084270e-01,-7.712013e+42
8,18,2,0,7.840126e-01,-8.384090e+42
8,19,6,0,4.150025e-02,-8.322592e+42
8,20,6,7,9.754874e-01,-7.715551e+42
8,21,1,0,7.084270e-01,-8.642083e+42
8,22,4,0,8.877810e-01,-7.418643e+42
8,23,6,3,5.784236e-01,-8.041616e+42
8,24,6,0,4.298313e-01,-7.986592e+42
8,25,8,6,2.785411e-01,-7.599493e+42
8,26,8,2,8.813393e-01,-7.758709e+42
8,27,8,3,1.301318e-02,-8.638482e+42
8,28,5,5,2.074695e-01,-7.650061e+42
8,29,4,3,6.471540e-01,-8.689994e+42
8,30,6,7,3.581652e-01,-7.614621e+42
8,31,1,7,3.581652e-01,-7.964310e+42
8,32,0,6,2.785411e-01,-8.472610e+42
8,33,5,3,6.471540e-01,-8.571921e+42
8,34,0,6,9.752455e-01,-7.766307e+42
8,35,1,3,1.301318e-02,-7.552295e+42
8,36,6,2,5.339487e-01,-7.594488e+42
8,37,5,2,8.813393e-01,-7.338939e+42
8,38,7,0,8.877810e-01,-8.703231e+42
8,39,1,7,3.581652e-01,-8.027314e+42
8,40,0,3,1.301318e-02,-8.307104e+42
8,41,2,0,8.226356e-01,-8.444823e+42
8,42,4,3,1.301318e-02,-7.775900e+42
8,43,1,0,7.084270e-01,-7.673380e+42
8,44,4,4,2.470148e-01,-7.483717e+42
8,45,8,0,8.877810e-01,-7.390633e+42
8,46,5,4,3.200105e-01,-7.969252e+42
8,47,8,7,3.158682e-01,-8.716839e+42
8,48,3,2,5.339487e-01,-7.808946e+42
8,49,7,0,6.140392e-01,-8.142697e+42
9,0,3,7,6.538250e-01,-8.741146e+42
9,1,5,1,7.477908e-01,-8.890390e+42
9,2,0,8,3.938897e-01,-9.329852e+42
9,3,3,6,4.173507e-01,-8.586607e+42
9,4,7,3,3.366250e-01,-9.354815e+42
9,5,7,6,1.332397e-01,-8.201624e+42
9,6,7,6,1.332397e-01,-9.075080e+42
9,7,5,6,1.332397e-01,-9.014345e+42
9,8,2,2,9.009832e-01,-9.890598e+42
9,9,0,0,4.616377e-01,-8.122579e+42
9,10,3,8,3.938897e-01,-8.866331e+42
9,11,7,0,4.616377e-01,-8.811127e+42
9,12,7,2,6.333709e-03,-9.785300e+42
9,13,2,0,2.264065e-01,-8.288693e+42
9,14,3,5,8.051076e-01,-8.498933e+42
9,15,4,5,9.239951e-01,-8.501100e+42
9,16,3,8,3.938897e-01,-8.312561e+42
9,17,0,3,3.366250e-01,-8.676015e+42
9,18,0,6,4.173507e-01,-9.432101e+42
9,19,0,1,5.383643e-01,-9.362916e+42
9,20,7,6,2.017021e-01,-8.679994e+42
9,21,0,5,9.931074e-01,-9.722343e+42
9,22,0,5,8.051076e-01,-8.345973e+42
9,23,3,2,6.333709e-03,-9.046818e+42
9,24,0,3,4.269546e-02,-8.984915e+42
9,25,6,1,9.080053e-01,-8.549430e+42
9,26,2,2,6.333709e-03,-8.728548e+42
9,27,3,7,7.702187e-02,-9.718293e+42
9,28,5,5,9.239951e-01,-8.606319e+42
9,29,3,1,5.383643e-01,-9.776243e+42
9,30,7,1,5.383643e-01,-8.566448e+42
9,31,7,7,6.538250e-01,-8.959848e+42
9,32,6,2,6.867979e-02,-9.531686e+42
9,33,3,2,6.333709e-03,-9.643411e+42
9,34,6,2,2.658609e-01,-8.737096e+42
9,35,3,7,7.702187e-02,-8.496332e+42
9,36,2,2,6.867979e-02,-8.543799e+42
9,37,2,7,7.702187e-02,-8.256306e+42
9,38,0,2,6.333709e-03,-9.791135e+42
9,39,7,1,5.383643e-01,-9.030729e+42
9,40,3,5,8.051076e-01,-9.345492e+42
9,41,0,7,7.702187e-02,-9.500426e+42
9,42,3,5,3.500979e-01,-8.747888e+42
9,43,0,6,4.166813e-01,-8.632553e+42
9,44,4,0,4.616377e-01,-8.419182e+42
9,45,0,8,3.938897e-01,-8.314462e+42
9,46,4,2,9.009832e-01,-8.965409e+42
9,47,7,2,6.333709e-03,-9.806444e+42
9,48,2,5,5.050495e-01,-8.785064e+42
9,49,0,5,9.931074e-01,-9.160534e+42
10,0,7,8,1.693602e-01,-9.712384e+42
10,1,1,4,8.794057e-01,-9.878211e+42
10,2,8,7,2.248614e-01,-1.036650e+43
10,3,6,7,2.248614e-01,-9.540675e+42
10,4,3,5,5.215365e-01,-1.039424e+43
10,5,6,2,3.816173e-01,-9.112915e+42
10,6,6,0,1.546705e-01,-1.008342e+43
10,7,6,7,2.248614e-01,-1.001594e+43
10,8,2,4,8.276360e-01,-1.098955e+43
10,9,0,1,1.259374e-01,-9.025088e+42
10,10,8,6,7.261426e-01,-9.851479e+42
10,11,0,2,3.816173e-01,-9.790141e+42
10,12,2,8,4.306367e-01,-1.087256e+43
10,13,0,5,4.441830e-01,-9.209659e+42
10,14,5,8,1.693602e-01,-9.443259e+42
10,15,5,0,1.546705e-01,-9.445667e+42
10,16,8,5,1.221591e-02,-9.236179e+42
10,17,3,0,4.053213e-01,-9.640017e+42
10,18,6,0,1.546705e-01,-1.048011e+43
10,19,1,5,5.215365e-01,-1.040324e+43
10,20,6,0,4.053213e-01,-9.644438e+42
10,21,5,3,5.947471e-01,-1.080260e+43
10,22,5,1,8.217569e-01,-9.273303e+42
10,23,2,8,7.547425e-01,-1.005202e+43
10,24,3,8,1.693602e-01,-9.983239e+42
10,25,1,5,5.215365e-01,-9.499366e+42
10,26,2,8,4.306367e-01,-9.698387e+42
10,27,7,7,2.248614e-01,-1.079810e+43
10,28,5,4,3.187194e-01,-9.562577e+42
10,29,1,0,1.598572e-01,-1.086249e+43
10,30,1,0,1.598572e-01,-9.518276e+42
10,31,7,4,3.187194e-01,-9.955387e+42
10,32,2,4,8.276360e-01,-1.059076e+43
10,33,2,6,9.018422e-01,-1.071490e+43
10,34,2,8,5.294165e-01,-9.707884e+42
10,35,7,6,9.018422e-01,-9.440369e+42
10,36,2,5,8.074531e-01,-9.493110e+42
10,37,7,5,5.215365e-01,-9.173673e+42
10,38,2,0,1.546705e-01,-1.087904e+43
10,39,1,8,1.693602e-01,-1.003414e+43
10,40,5,8,7.547425e-01,-1.038388e+43
10,41,7,8,7.547425e-01,-1.055603e+43
10,42,5,5,8.074531e-01,-9.719875e+42
10,43,6,7,2.248614e-01,-9.591726e+42
10,44,0,7,8.463139e-01,-9.354646e+42
10,45,8,3,5.947471e-01,-9.238291e+42
10,46,2,5,9.379152e-01,-9.961565e+42
10,47,2,1,6.879959e-01,-1.089605e+43
10,48,5,1,7.597112e-01,-9.761182e+42
10,49,5,1,1.259374e-01,-1.017837e+43
11,0,8,0,5.874655e-01,-1.068362e+43
11,1,4,8,9.423736e-01,-1.086603e+43
11,2,7,8,4.766207e-01,-1.140315e+43
11,3,7,7,8.778301e-01,-1.049474e+43
11,4,5,5,8.671425e-01,-1.143366e+43
11,5,2,8,4.766207e-01,-1.002421e+43
11,6,0,5,8.671425e-01,-1.109176e+43
11,7,7,0,6.999654e-01,-1.101753e+43
11,8,4,7,3.930790e-01,-1.208851e+43
11,9,1,1,2.738792e-01,-9.927597e+42
11,10,6,7,2.251569e-01,-1.083663e+43
11,11,2,4,7.949040e-01,-1.076915e+43
11,12,8,0,5.874655e-01,-1.195981e+43
11,13,5,0,2.150098e-02,-1.013062e+43
11,14,8,5,3.139806e-01,-1.038759e+43
11,15,0,3,5.332786e-02,-1.039023e+43
11,16,5,5,7.002651e-01,-1.015980e+43
11,17,0,4,7.949040e-01,-1.060402e+43
11,18,0,5,7.002651e-01,-1.152812e+43
11,19,5,7,2.251569e-01,-1.144356e+43
11,20,0,0,8.872663e-01,-1.060888e+43
11,21,3,7,1.522191e-01,-1.188286e+43
11,22,1,7,8.778301e-01,-1.020063e+43
11,23,8,5,3.139806e-01,-1.105722e+43
11,24,8,2,8.520653e-01,-1.098156e+43
11,25,5,0,2.150098e-02,-1.044930e+43
11,26,8,1,8.619006e-01,-1.066823e+43
11,27,7,4,1.135303e-01,-1.187791e+43
11,28,4,1,6.898308e-01,-1.051883e+43
11,29,0,7,8.778301e-01,-1.194874e+43
11,30,0,0,8.872663e-01,-1.047010e+43
11,31,4,4,5.434372e-02,-1.095093e+43
11,32,4,8,4.766207e-01,-1.164984e+43
11,33,6,7,2.251569e-01,-1.178639e+43
11,34,8,7,1.225446e-01,-1.067867e+43
11,35,6,4,1.960122e-01,-1.038441e+43
11,36,5,1,8.619006e-01,-1.044242e+43
11,37,5,4,5.347678e-03,-1.009104e+43
11,38,0,1,2.738792e-01,-1.196694e+43
11,39,8,5,3.139806e-01,-1.103756e+43
11,40,8,4,7.949040e-01,-1.142227e+43
11,41,8,5,3.139806e-01,-1.161163e+43
11,42,5,2,8.520653e-01,-1.069186e+43
11,43,7,5,1.285720e-01,-1.055090e+43
11,44,7,3,2.181532e-01,-1.029011e+43
11,45,3,7,8.778301e-01,-1.016212e+43
11,46,5,1,4.843088e-01,-1.095772e+43
11,47,1,0,5.874655e-01,-1.198565e+43
11,48,1,7,1.225446e-01,-1.073730e+43
11,49,1,4,1.960122e-01,-1.119621e+43
12,0,0,2,3.820539e-01,-1.165486e+43
12,1,8,8,8.234436e-01,-1.185385e+43
12,2,8,4,5.157159e-01,-1.243980e+43
12,3,7,1,9.399133e-01,-1.144881e+43
12,4,5,8,3.931732e-01,-1.247309e+43
